algo,variant,graph_type,case_type,n,m,base_seed,noise_std,noise_repeats,latency_mean,latency_var,latency_best,latency_worst,mean_peak_mem_kb,mean_throughput_edges_per_sec,mean_cache_proxy
dijkstra,baseline,sparse,best,200,400,42,0.5,10,0.0004256539992638864,3.0065120681587734e-09,0.00039054099761415273,0.0005794580065412447,6.62890625,952185.4016314822,818.0
bellman_ford,baseline_bf,sparse,best,200,400,42,0.5,10,0.0024851166977896354,8.758894823765865e-08,0.0018017499969573691,0.0028664999990724027,5.71171875,163626.35614205126,1960.0
barrier_pivots,paper_method,sparse,best,200,400,42,0.5,10,7.42750969948247e-05,2.9455466499031483e-10,6.208299600984901e-05,0.00012020899157505482,6.75390625,5600854.191938378,46.0
barrier_no_pivots,ablation_no_pivots,sparse,best,200,400,42,0.5,10,4.812079860130325e-05,1.1388107921393295e-11,4.449998959898949e-05,5.60000044060871e-05,5.37890625,8350207.916950119,41.4
dijkstra,baseline,sparse,normal,200,400,42,0.5,10,0.0003885834012180567,3.7245702618327505e-10,0.0003720840031746775,0.0004311669908929616,6.0,1031786.8404655214,819.4
bellman_ford,baseline_bf,sparse,normal,200,400,42,0.5,10,0.002183745801448822,1.1971867208603555e-09,0.0021229169942671433,0.0022315000096568838,5.66015625,183217.90276860356,2000.0
barrier_pivots,paper_method,sparse,normal,200,400,42,0.5,10,6.195829628268257e-05,5.6281196621273865e-12,5.9416997828520834e-05,6.799999391660094e-05,5.93076171875,6464927.203786098,46.0
barrier_no_pivots,ablation_no_pivots,sparse,normal,200,400,42,0.5,10,4.7741696471348404e-05,1.641182751935506e-11,4.374999844003469e-05,5.779099592473358e-05,5.2953125,8432507.199776221,41.0
dijkstra,baseline,sparse,worst,200,400,42,0.5,10,0.00040752909844741223,2.7020630031789564e-10,0.0003939580055885017,0.0004548330034594983,6.0,982992.1951393858,880.4
bellman_ford,baseline_bf,sparse,worst,200,400,42,0.5,10,0.001465449899842497,5.400746466594963e-08,0.0013007910019950941,0.001981625013286248,5.66015625,278792.70404756215,1280.0
barrier_pivots,paper_method,sparse,worst,200,400,42,0.5,10,9.895829862216488e-05,2.971521228011647e-09,6.262499664444476e-05,0.00025508299586363137,5.97265625,4739890.159551323,46.0
barrier_no_pivots,ablation_no_pivots,sparse,worst,200,400,42,0.5,10,4.477920156205073e-05,2.7663892996867634e-12,4.279200220480561e-05,4.8165995394811034e-05,5.2953125,8944759.193562442,41.0
dijkstra,baseline,dense,best,200,1600,42,0.5,10,0.0010671252020983957,1.4275176531311015e-09,0.0010265830060234293,0.0011441670067142695,6.88125,1501172.7734969365,2189.6
bellman_ford,baseline_bf,dense,best,200,1600,42,0.5,10,0.006391245800477919,5.08558003368135e-07,0.005724707996705547,0.007758542007650249,5.66015625,253222.4904306202,6880.0
barrier_pivots,paper_method,dense,best,200,1600,42,0.5,10,8.06292999186553e-05,7.756706867397128e-11,7.345799531321973e-05,0.00010529099381528795,5.9296875,20040932.613859255,91.0
barrier_no_pivots,ablation_no_pivots,dense,best,200,1600,42,0.5,10,6.0008099535480144e-05,2.6157368183228686e-11,5.5957993026822805e-05,7.420800102408975e-05,5.3890625,26830730.300407313,88.2
dijkstra,baseline,dense,normal,200,1600,42,0.5,10,0.0010738248965935782,2.488091295449408e-10,0.0010544999968260527,0.0011134999949717894,6.984375,1490316.325426838,2245.6
bellman_ford,baseline_bf,dense,normal,200,1600,42,0.5,10,0.00630978739936836,4.6064620804508173e-07,0.005634291999740526,0.007409292011288926,5.66015625,256306.52139276676,6880.0
barrier_pivots,paper_method,dense,normal,200,1600,42,0.5,10,8.188739739125594e-05,5.837885332532756e-11,7.374999404419214e-05,9.929199586622417e-05,5.9296875,19696939.22892683,91.0
barrier_no_pivots,ablation_no_pivots,dense,normal,200,1600,42,0.5,10,5.902920092921704e-05,7.630643589623049e-12,5.591599619947374e-05,6.404200394172221e-05,5.3890625,27163289.114049982,87.6
dijkstra,baseline,dense,worst,200,1600,42,0.5,10,0.0011232666991418227,4.2554511291203235e-10,0.0010997920035151765,0.0011747920070774853,7.37578125,1424887.1172089803,2310.6
bellman_ford,baseline_bf,dense,worst,200,1600,42,0.5,10,0.007108233301551081,1.3839309521251282e-06,0.0057135410024784505,0.009182042005704716,5.66015625,231241.96964249705,7680.0
barrier_pivots,paper_method,dense,worst,200,1600,42,0.5,10,7.792090036673471e-05,3.0240916430880077e-11,7.366698991972953e-05,9.274999320041388e-05,5.9296875,20624859.216307152,92.3
barrier_no_pivots,ablation_no_pivots,dense,worst,200,1600,42,0.5,10,6.0537601530086246e-05,2.219671823431063e-11,5.658299778588116e-05,7.249999907799065e-05,5.3890625,26574399.527859114,88.9
dijkstra,baseline,sparse,best,400,800,42,0.5,10,0.000902033298916649,1.4284555761835005e-09,0.0008514579967595637,0.0009887499909382313,14.23984375,888394.015620896,1649.0
bellman_ford,baseline_bf,sparse,best,400,800,42,0.5,10,0.0037205331987934186,2.5243347508235483e-08,0.003515624994179234,0.004021290995297022,13.5,215404.46608447205,3200.0
barrier_pivots,paper_method,sparse,best,400,800,42,0.5,10,6.551669939653948e-05,4.079993562988544e-11,6.083300104364753e-05,8.295800944324583e-05,8.9921875,12309979.382335594,51.0
